Period,Futures price (₹/kilogram),Spot price (₹/kilogram)
01-01-2017,1027.6,1128
02-01-2017,1068.4,1151.7
03-01-2017,1052,1139.7
04-01-2017,1042.1,1127.8
05-01-2017,1042.7,1126.5
06-01-2017,1055.3,1133.5
07-01-2017,1055.3,1133.5
08-01-2017,1055.3,1133.5
09-01-2017,1045.2,1140.2
10-01-2017,1025.7,1125.3
11-01-2017,1026.6,1124.1
12-01-2017,1032.1,1125.4
13-01-2017,1042.6,1137.5
14-01-2017,1042.6,1137.5
15-01-2017,1042.6,1137.5
16-01-2017,1027.7,1121.5
17-01-2017,1017.1,1124.7
18-01-2017,1022,1124.5
19-01-2017,1027.7,1129.9
20-01-2017,1004.2,1119.6
21-01-2017,1004.2,1119.6
22-01-2017,1004.2,1119.6
23-01-2017,1009.2,1123.8
24-01-2017,1000,1118.4
25-01-2017,1001.7,1121.4
26-01-2017,1001.7,1121.4
27-01-2017,1014.7,1127.2
28-01-2017,1014.7,1127.2
29-01-2017,1014.7,1127.2
30-01-2017,1006.2,1126.4
31-01-2017,985,1118
01-02-2017,1011.6,1123.8
02-02-2017,1003.1,1116.9
03-02-2017,998.5,1117.3
04-02-2017,998.5,1117.3
05-02-2017,998.5,1117.3
06-02-2017,1009.5,1129
07-02-2017,1026.7,1137.9
08-02-2017,1034.8,1146.6
09-02-2017,1032.4,1143.9
10-02-2017,1027.4,1145.6
11-02-2017,1027.4,1145.6
12-02-2017,1027.4,1145.6
13-02-2017,1044.9,1157.4
14-02-2017,1044.1,1158.1
15-02-2017,1027,1158.1
16-02-2017,1027.1,1144.7
17-02-2017,1025.5,1151.7
18-02-2017,1025.5,1151.7
19-02-2017,1025.5,1151.7
20-02-2017,1021.4,1146.6
21-02-2017,1015.1,1147.2
22-02-2017,1017.4,1147.6
23-02-2017,1009.1,1145.4
24-02-2017,1009.1,1145.4
25-02-2017,1009.1,1145.4
26-02-2017,1009.1,1145.4
27-02-2017,1007.5,1145.9
28-02-2017,1029.6,1154.2
01-03-2017,1042.4,1154
02-03-2017,1045.2,1160.6
03-03-2017,1042,1158.8
04-03-2017,1042,1158.8
05-03-2017,1042,1158.8
06-03-2017,1041.2,1168.5
07-03-2017,1036.8,1161.5
08-03-2017,1026.5,1154.5
09-03-2017,1024.3,1151.8
10-03-2017,1021.6,1155.7
11-03-2017,1021.6,1155.7
12-03-2017,1021.6,1155.7
13-03-2017,1021.6,1155.7
14-03-2017,1024,1155.7
15-03-2017,1003.9,1151.1
16-03-2017,1004.3,1150.3
17-03-2017,998.1,1147
18-03-2017,998.1,1147
19-03-2017,998.1,1147
20-03-2017,994.3,1136.2
21-03-2017,989.1,1135.2
22-03-2017,967.4,1119.2
23-03-2017,966.4,1122.5
24-03-2017,974.1,1124.3
25-03-2017,974.1,1124.3
26-03-2017,974.1,1124.3
27-03-2017,968.2,1121.7
28-03-2017,972.5,1120.3
29-03-2017,992.5,1127
30-03-2017,985.8,1134.4
31-03-2017,983.3,1127.2
01-04-2017,983.3,1127.2
02-04-2017,983.3,1127.2
03-04-2017,991,1115.5
04-04-2017,991,1115.5
05-04-2017,1000,1133.5
06-04-2017,995.8,1134
07-04-2017,994.5,1125.5
08-04-2017,994.5,1125.5
09-04-2017,994.5,1125.5
10-04-2017,988.8,1133.3
11-04-2017,978.1,1116.5
12-04-2017,983.8,1120.2
13-04-2017,991.5,1124.4
14-04-2017,991.5,1124.4
15-04-2017,991.5,1124.4
16-04-2017,991.5,1124.4
17-04-2017,967.2,1117.3
18-04-2017,959.2,1110.6
19-04-2017,942.1,1095
20-04-2017,944.5,1103.5
21-04-2017,948.2,1108.5
22-04-2017,948.2,1108.5
23-04-2017,948.2,1108.5
24-04-2017,938.4,1099.5
25-04-2017,928.5,1094.6
26-04-2017,936.7,1088.6
27-04-2017,925.9,1084.1
28-04-2017,943.4,1088.1
29-04-2017,943.4,1088.1
30-04-2017,943.4,1088.1
01-05-2017,953.3,1088.1
02-05-2017,928.8,1084.5
03-05-2017,921.5,1071.4
04-05-2017,916.8,1066.3
05-05-2017,915.1,1067.5
06-05-2017,915.1,1067.5
07-05-2017,915.1,1067.5
08-05-2017,907.5,1048.2
09-05-2017,935.6,1058.9
10-05-2017,912,1056.3
11-05-2017,930.6,1049
12-05-2017,944.8,1063.2
13-05-2017,944.8,1063.2
14-05-2017,944.8,1063.2
15-05-2017,958.6,1068.8
16-05-2017,954.4,1072
17-05-2017,964.5,1076.2
18-05-2017,961.4,1070.1
19-05-2017,940.4,1059.7
20-05-2017,940.4,1059.7
21-05-2017,940.4,1059.7
22-05-2017,944.4,1052.5
23-05-2017,943.6,1055.3
24-05-2017,958.2,1057.2
25-05-2017,963.4,1057.2
26-05-2017,1001.4,1063.2
27-05-2017,1001.4,1063.2
28-05-2017,1001.4,1063.2
29-05-2017,1039.5,1067.2
30-05-2017,998,1062.2
31-05-2017,958.2,1057.1
01-06-2017,935,1060.3
02-06-2017,924,1049
03-06-2017,924,1049
04-06-2017,924,1049
05-06-2017,900.6,1019
06-06-2017,897.8,1009.9
07-06-2017,900.9,1016.7
08-06-2017,906.9,1019.4
09-06-2017,920.1,1034.5
10-06-2017,920.1,1034.5
