Period,Futures price (₹/kilogram),Spot price (₹/kilogram),expiration,Time_to_Maturity,Futures_theoretical,Futures_theoretical_round,Deviation,Percentage_deviation,Percentage_deviation_round,Basis,Backwardation,actual<theoretical_futures_price,,,,,,,,,,,,,
01-01-17,1027.6,1128,31-01-17,0.082191781,1133.576479,1133.6,-106,-9.350741002,-9.4,100.4,Yes,Yes,,,,,,,,,,,,,
02-01-17,1068.4,1151.7,01-02-17,0.082191781,1157.393644,1157.4,-89,-7.689649214,-7.7,83.3,Yes,Yes,,,,,,,,,,,,,
03-01-17,1052,1139.7,02-02-17,0.082191781,1145.33432,1145.3,-93.3,-8.146337204,-8.1,87.7,Yes,Yes,,,,,,,,,,,,,
04-01-17,1042.1,1127.8,03-02-17,0.082191781,1133.37549,1133.4,-91.3,-8.055408505,-8.1,85.7,Yes,Yes,,,,,,,,,,,,,
05-01-17,1042.7,1126.5,04-02-17,0.082191781,1132.069063,1132.1,-89.4,-7.896828902,-7.9,83.8,Yes,Yes,,,,,,,,,,,,,
06-01-17,1055.3,1133.5,05-02-17,0.082191781,1139.103669,1139.1,-83.8,-7.356685102,-7.4,78.2,Yes,Yes,,,,,,,,,,,,,
07-01-17,1055.3,1133.5,06-02-17,0.082191781,1139.103669,1139.1,-83.8,-7.356685102,-7.4,78.2,Yes,Yes,,,,,,,,,,,,,
08-01-17,1055.3,1133.5,07-02-17,0.082191781,1139.103669,1139.1,-83.8,-7.356685102,-7.4,78.2,Yes,Yes,,,,,,,,,,,,,
09-01-17,1045.2,1140.2,08-02-17,0.082191781,1145.836792,1145.8,-100.6,-8.779891779,-8.8,95,Yes,Yes,,,,,,,,,,,,,
10-01-17,1025.7,1125.3,09-02-17,0.082191781,1130.863131,1130.9,-105.2,-9.302325581,-9.3,99.6,Yes,Yes,,,,,,,,,,,,,
11-01-17,1026.6,1124.1,10-02-17,0.082191781,1129.657198,1129.7,-103.1,-9.126316721,-9.1,97.5,Yes,Yes,,,,,,,,,,,,,
12-01-17,1032.1,1125.4,11-02-17,0.082191781,1130.963625,1131,-98.9,-8.744473917,-8.7,93.3,Yes,Yes,,,,,,,,,,,,,
13-01-17,1042.6,1137.5,12-02-17,0.082191781,1143.123444,1143.1,-100.5,-8.791881725,-8.8,94.9,Yes,Yes,,,,,,,,,,,,,
14-01-17,1042.6,1137.5,13-02-17,0.082191781,1143.123444,1143.1,-100.5,-8.791881725,-8.8,94.9,Yes,Yes,,,,,,,,,,,,,
15-01-17,1042.6,1137.5,14-02-17,0.082191781,1143.123444,1143.1,-100.5,-8.791881725,-8.8,94.9,Yes,Yes,,,,,,,,,,,,,
16-01-17,1027.7,1121.5,15-02-17,0.082191781,1127.044345,1127,-99.3,-8.811002662,-8.8,93.8,Yes,Yes,,,,,,,,,,,,,
17-01-17,1017.1,1124.7,16-02-17,0.082191781,1130.260164,1130.3,-113.2,-10.01504025,-10,107.6,Yes,Yes,,,,,,,,,,,,,
