Date,Price,Open,High,Low,Vol.,Change %
13-08-2024,965,967,971.9,964,0.09K,-0.40%
12-08-2024,968.9,975,984.5,968.9,0.22K,-1.08%
09-08-2024,979.5,991.8,994.7,975.1,0.26K,-0.49%
08-08-2024,984.3,994,994.8,978.1,0.34K,-0.93%
07-08-2024,993.5,"1,008.70","1,025.00",988,0.66K,-0.84%
06-08-2024,"1,001.90","1,000.00","1,007.00",996.4,0.19K,0.05%
05-08-2024,"1,001.40","1,011.60","1,021.80",999,0.43K,-0.64%
02-08-2024,"1,007.90",984.5,"1,014.00",984.5,0.55K,2.80%
01-08-2024,980.4,979.9,985.5,967.6,0.30K,3.03%
31-07-2024,951.6,940.1,955,940.1,0.01K,1.23%
30-07-2024,940,940,940,940,0.00K,-0.18%
29-07-2024,941.7,945,945,940,0.00K,2.37%
26-07-2024,919.9,919.9,919.9,919.9,,0.00%
25-07-2024,919.9,933.3,938.1,902.4,0.12K,-2.13%
24-07-2024,939.9,945,959.8,935,0.22K,-1.24%
23-07-2024,951.7,946.9,966,937,0.28K,1.73%
22-07-2024,935.5,942.8,943.9,932.3,0.18K,-0.84%
19-07-2024,943.4,956.5,960.8,942.1,0.22K,-1.45%
18-07-2024,957.3,950.2,959,947,0.25K,1.15%
17-07-2024,946.4,946.4,946.4,946.4,,0.00%
16-07-2024,946.4,941,947.9,941,0.08K,0.22%
15-07-2024,944.3,951.5,952.9,942.1,0.13K,-1.14%
